cookie_info_header;"Ta strona wykorzystuje pliki cookie"
cookie_info_body;"W ramach naszej witryny stosujemy pliki cookies w celu świadczenia usług na najwyższym poziomie. Korzystanie z witryny bez zmiany ustawień dotyczących cookies oznacza, że będą one zamieszczane w twoim urządzeniu końcowym."
cookie_info_continue;"kontynułuj"
cookie_info_learn_more;"Dowiedz się więcej"
cookie_info_url;"http://wszystkoociasteczkach.pl/"

pagination_first_page;"Pierwsza strona"
pagination_previous_page;"Poprzednia strona"
pagination_next_page;"Następna strona"
pagination_last_page;"Ostatnia strona"
